cod;nome;período;valor
5103403;51;2007;214
1721000;17;2007;21
1501402;15;2007;505
2304400;23;2007;895
2800308;28;2007;132
2704302;27;2007;829
4205407;42;2007;74
2111300;21;2007;322
3205309;32;2007;186
3304557;33;2007;2116
1600303;16;2007;119
4106902;41;2007;688
2611606;26;2007;1035
5002704;50;2007;241
1100205;11;2007;173
2507507;25;2007;329
2408102;24;2007;206
5208707;52;2007;344
1302603;13;2008;648
3205309;32;2008;186
5103403;51;2008;217
2507507;25;2008;347
5002704;50;2008;184
5208707;52;2008;451
4314902;43;2008;574
2611606;26;2008;973
4205407;42;2008;87
3550308;35;2008;1787
4106902;41;2008;771
1200401;12;2008;78
2408102;24;2008;254
1721000;17;2008;25
2800308;28;2008;142
2304400;23;2008;864
2211001;22;2008;178
2927408;29;2008;1726
2111300;21;2008;356
1100205;11;2008;145
3304557;33;2008;1829
1400100;14;2008;65
5300108;53;2008;812
3106200;31;2008;881
2704302;27;2008;933
1501402;15;2008;735
1600303;16;2008;143
1400100;14;2009;72
1100205;11;2009;160
2611606;26;2009;847
5103403;51;2009;232
2800308;28;2009;161
1501402;15;2009;700
2507507;25;2009;428
1200401;12;2009;95
2704302;27;2009;810
2211001;22;2009;188
1721000;17;2009;27
4106902;41;2009;778
3106200;31;2009;762
5002704;50;2009;200
3550308;35;2009;1848
2408102;24;2009;290
2927408;29;2009;1851
5208707;52;2009;425
5300108;53;2009;882
4205407;42;2009;77
1302603;13;2009;748
2111300;21;2009;436
3205309;32;2009;170
1600303;16;2009;115
3304557;33;2009;1929
2304400;23;2009;867
4314902;43;2009;494
2111300;21;2010;458
4205407;42;2010;93
1100205;11;2010;203
3106200;31;2010;724
1600303;16;2010;181
5002704;50;2010;184
2304400;23;2010;1169
5300108;53;2010;786
2611606;26;2010;669
5208707;52;2010;402
2800308;28;2010;157
3550308;35;2010;1704
5103403;51;2010;218
2408102;24;2010;293
4106902;41;2010;764
2211001;22;2010;202
1501402;15;2010;895
1400100;14;2010;82
3205309;32;2010;160
1302603;13;2010;847
1200401;12;2010;99
2927408;29;2010;1913
2507507;25;2010;495
4314902;43;2010;466
3304557;33;2010;1867
1721000;17;2010;47
2704302;27;2010;918
2304400;23;2011;1224
2211001;22;2011;242
5103403;51;2011;248
3106200;31;2011;805
1600303;16;2011;127
4106902;41;2011;661
1200401;12;2011;78
5002704;50;2011;168
4205407;42;2011;83
5208707;52;2011;536
3304557;33;2011;1488
4314902;43;2011;471
1721000;17;2011;63
1100205;11;2011;167
2927408;29;2011;1650
3550308;35;2011;1528
2704302;27;2011;915
2611606;26;2011;672
1302603;13;2011;1026
5300108;53;2011;902
1501402;15;2011;682
2408102;24;2011;369
1400100;14;2011;54
2800308;28;2011;186
2507507;25;2011;556
3205309;32;2011;140
2111300;21;2011;478
2211001;22;2012;300
1200401;12;2012;101
2800308;28;2012;251
2408102;24;2012;409
4106902;41;2012;594
1600303;16;2012;156
2111300;21;2012;554
4205407;42;2012;62
5208707;52;2012;623
2927408;29;2012;1704
3550308;35;2012;1903
2611606;26;2012;639
1302603;13;2012;1034
3304557;33;2012;1339
4314902;43;2012;534
1400100;14;2012;82
1100205;11;2012;184
5103403;51;2012;242
5300108;53;2012;954
1721000;17;2012;46
3205309;32;2012;131
3106200;31;2012;854
5002704;50;2012;178
2704302;27;2012;761
2507507;25;2012;489
1501402;15;2012;780
2304400;23;2012;1814
2611606;26;2013;490
2408102;24;2013;485
5208707;52;2013;651
5002704;50;2013;144
3304557;33;2013;1311
2704302;27;2013;826
5300108;53;2013;837
2800308;28;2013;284
1200401;12;2013;134
2111300;21;2013;774
4314902;43;2013;522
3205309;32;2013;134
1600303;16;2013;143
1501402;15;2013;840
5103403;51;2013;224
1302603;13;2013;869
2304400;23;2013;2129
1721000;17;2013;64
3550308;35;2013;1733
1400100;14;2013;125
2211001;22;2013;351
4106902;41;2013;534
4205407;42;2013;57
2507507;25;2013;479
1100205;11;2013;183
3106200;31;2013;845
2927408;29;2013;1473
3106200;31;2014;774
1721000;17;2014;84
2800308;28;2014;290
5002704;50;2014;184
1100205;11;2014;178
2211001;22;2014;438
2507507;25;2014;456
5208707;52;2014;707
2704302;27;2014;740
2111300;21;2014;856
1400100;14;2014;81
3304557;33;2014;1419
2611606;26;2014;481
4205407;42;2014;65
2408102;24;2014;521
5300108;53;2014;843
2304400;23;2014;2129
3205309;32;2014;153
5103403;51;2014;269
4314902;43;2014;663
1501402;15;2014;826
2927408;29;2014;1449
4106902;41;2014;604
1200401;12;2014;150
3550308;35;2014;1833
1600303;16;2014;182
1302603;13;2014;916
3304557;33;2015;1444
4205407;42;2015;61
1600303;16;2015;188
4314902;43;2015;688
1100205;11;2015;208
2111300;21;2015;758
1400100;14;2015;120
2304400;23;2015;1729
5300108;53;2015;742
2611606;26;2015;582
1721000;17;2015;98
2507507;25;2015;467
4106902;41;2015;518
2704302;27;2015;573
2800308;28;2015;371
3106200;31;2015;610
5002704;50;2015;170
5208707;52;2015;698
2211001;22;2015;351
5103403;51;2015;256
1501402;15;2015;875
3205309;32;2015;89
2408102;24;2015;446
1200401;12;2015;126
3550308;35;2015;1584
2927408;29;2015;1542
1302603;13;2015;1130
1501402;15;2016;1101
4205407;42;2016;82
2507507;25;2016;355
2611606;26;2016;667
3205309;32;2016;62
2927408;29;2016;1698
2111300;21;2016;601
1302603;13;2016;1002
5300108;53;2016;760
1721000;17;2016;100
5103403;51;2016;217
2304400;23;2016;1164
1600303;16;2016;261
1400100;14;2016;118
2800308;28;2016;468
1200401;12;2016;236
1100205;11;2016;225
3304557;33;2016;1678
5208707;52;2016;606
5002704;50;2016;175
3550308;35;2016;1221
3106200;31;2016;623
2704302;27;2016;565
2211001;22;2016;374
4314902;43;2016;824
2408102;24;2016;550
4106902;41;2016;557
4314902;43;2017;692
5103403;51;2017;162
5002704;50;2017;142
2507507;25;2017;313
4205407;42;2017;142
2611606;26;2017;830
4106902;41;2017;448
2704302;27;2017;617
2408102;24;2017;575
2304400;23;2017;2145
2800308;28;2017;366
2211001;22;2017;319
2111300;21;2017;506
2927408;29;2017;1763
5300108;53;2017;610
